标题,作者,摘要,关键词
基于DDR内存总线的高速网络接入技术,"张晓彤,王景存,王沁,刘兰军","在机群系统中,机群的互连网络性能对整个机群系统的性能有着至关重要的影响.机群系统要求互连网络具有高带宽、低延迟、高可靠等特性,传统的互连网络接入方法基本上基于PCI接口.本文提出了基于DDR DIMM内存总线的接入思想,采用可编程逻辑器件FPGA实现网络接口设计,通过直接读写内存方式提高并行接入带宽,并将部分通讯协议下载到网卡上以提高计算和通讯的速度.实测表明,在不包括上层协议的情况下,接口卡的数据接入带宽可达3120Mbps,给出了基于FPGA的实现方法,并用Xilinx Virtex-Ⅱ Pro-20 FPGA进行了仿真和验证.","网络,高速互连,网络接口卡,DDR,DIMM,FPGA"
神经网络PID控制,"杜建凤,崔勇,张寒松,严忠慧","以工业PID控制中控制器参数调整困难为背景,在分析神经网络特性的基础上,提出神经网络控制方法,设计了具有自适应性的神经网络PID控制器。在描述了神经网络的学习机理的基础上,给出了控制器控制算法。通过2个实例验证了神经网络在线控制的可行性。","神经网络,学习机理,控制算法"
回声状态网络的研究进展,"罗熊,黎江,孙增圻","回声状态网络是近年来新兴的一种递归神经网络,独特而简单的训练方式以及高精度的训练结果已使其成为当前研究的热点之一.在该网络中,引入了储备池计算模式这一新的神经网络的建设方案,克服了之前网络模型基于梯度下降的学习算法所难以避免的收敛慢和容易陷入局部极小等问题.围绕这种新型网络结构,国内外许多学者开展了多样的研究.本文全面深入介绍了回声状态网络这一新兴技术,讨论了回声状态网络的优缺点,并综合近年的研究现状,总结了回声状态网络的主要研究工作进展和未来的研究方向.","回声状态网络,储备池计算,递归神经网络"
神经网络在信号处理中的应用,"徐金梧,梁静","运用BP网络来消除信号的随机噪声和模式识别.作为例子,考虑了正弦波、矩形波和三角波3种信号.在50%噪声情况下,BP网络仍能有效地消除这3种信号中的随机噪声并正确地找出它的理想模式.","神经网络,信号处理/BP网络,随机噪声,模式识别"
一种用于模式分类有监督的模糊ART神经网络,"潘紫微,徐金梧","探讨了一种将有监督学习机制融合到模糊ART网络构成一个有监督的模糊ART神经网络模型.这种网络能同时处理有监督和无监督学习问题,并具有积累和增加网络学习的能力.对该网络进行了滚动轴承检测数据模式分类实验,并与BP网络进行了比较性实验.结果表明:该网络具有良好模式分类能力和较好的可塑性.","神经网络,模糊理论,模式识别"
基于神经网络的动态矩阵控制,"石中锁,孙一康,舒迪前","利用神经网络优化性能指标实现了动态控制,并给出了计算机模拟实例。","控制/动态矩阵控制,神经网络,Hopfield网络"
基于遗传算法的网络优化技术在设备维修中的应用,"张武军,徐金梧,杨德斌","遗传算法用于维修网络优化,是求解网络优化问题的一个新思路.实例证明,遗传算法用于机床维修网络优化,其计算结果比模糊网络规化得出的最优解更精确.","遗传算法,网络优化,设备维修"
生态产业共生网络均衡模型,"刘国山,徐士琴,孙懿文,韩继业","建立了生态产业共生网络均衡模型的标号系统,该生态产业系统可有效地减少原材料使用量并降低污染物排放.针对生态产业共生网络多产品(主副产品和废弃物)和多层次(生产者企业、消费者企业、分解者企业和需求市场)的复杂网络结构,基于标号系统描述了生态产业共生网络各层决策成员的利润优化行为以得到均衡条件,利用变分不等式构建生态产业共生网络均衡模型.在一定假设条件下,探讨变分不等式问题解的性质并构造数值算例以验证模型的正确性与合理性.","生态学,产业共生,废弃物处理,变分不等式问题,博弈论,标号系统"
混沌时间序列神经网络拓扑结构的选取方法,"李擎,郑德玲","采用3层前向神经网络描述混沌时间序列的动力学模型,给出了该网络拓扑结构的确定方法.以及使网络泛化误差达到最小为依据确定网络的输入节点和隐含节点个数.仿真结果表明:该方法不仅优化了网络的结构,而且大大减少了网络的泛化误差.","混沌时间序列,神经网络,拓扑结构,泛化误差"
基于回归神经网络的复杂工业对象的建模,"魏剑平,李华德,余达太,冯扬","讨论一种动态神经网络——Elman回归神经网络的结构和算法.基于这一网络结构提出了非线性时变工业对象——直流电弧的神经网络建模方法,并与用其他方法为对象建立的模型进行了比较,结果证明回归网络模型能够很好地适配该工业对象,显示了动态神经网络在工业对象建模中的良好应用前景.","回归神经网络,建模,工业对象"
下一代制造系统网络性能管理模型,"才力,赵文清,丁预展","通过对下一代制造系统网络特点的分析,提出了一种基于Internet的分布式网络管理系统,给出了其核心-基于人工神经网络的网络性能管理专家系统的模型.同时对此模型的核心模块——神经网络模块进行设计,实现网络性能问题的发现和相关原因的分析,并提出优化建议.","NGMS,网络性能管理,神经网络,专家系统"
基于图神经网络增强通信特征的僵尸网络异常通信检测,"王云浩,胡堰,皇甫伟,霍佳皓",工业互联网中的传统工业设备存在大量安全漏洞，在联网过程中易受僵尸网络攻击，其通过恶意控制大量联网设备，实现对目标网络的大规模协同攻击. 传统基于规则或阈值的检测方法过度依赖静态签名或人工阈值设定，很难适应动态变化的网络环境；传统机器学习技术对复杂网络高维通信特征的处理能力有限，导致检测能力受限；基于深度学习的检测技术通常将网络流量视为时间序列或空间数据进行处理，无法对设备拓扑依赖关系进行建模，因而难以识别僵尸网络协同攻击. 为了解决上述局限性，本文采用图结构准确建模复杂通信网络拓扑结构，并提出一种基于图神经网络增强通信特征的僵尸网络异常通信检测技术. 首先从网络流量数据中挖掘细粒度的节点特征与通信特征；然后通过图神经网络的信息传播与聚合机制，获得准确的节点聚合特征表示；再用节点聚合特征增强通信特征，实现准确的异常通信检测；最后在大型公开数据集CTU-13上进行了综合实验，验证所提出方法的有效性. 实验结果表明所提出的方案与现有的卷积神经网络、长短时记忆网络及其融合模型等异常检测算法，以及最新提出的Bot-DM僵尸网络检测方法相比，能更准确地检测僵尸网络异常通信.,"工业互联网安全,僵尸网络,异常通信检测,图神经网络,深度学习"
远程SAN存储网络的设计与实现,"郝卫东,杨扬,陶丽红,刘鸿涛","描述了覆盖天津港务局全港的远程光纤存储网络的结构,对其可扩展性以及数据传输协议进行了分析,对10 Gbit速率下长距离光纤扩展时的链路功率预算值进行了计算.结果表明,在设计和实现远程光纤存储网时选择iSCSI和FC SAN融合的技术路线有利于在保证性能的同时降低成本.该系统已经成功实施,并运转正常.","存储网络,SAN,FC,iSCSI,链路功率预算"
神经网络在自适应滤波中的应用,"李连源,王绍纯",利用神经网络对白噪声、红噪声和正弦波进行辨识.进而采用单片机对以上3种噪声和尖峰脉冲干扰进行自适应滤波处理.实验结果表明该方案正确.,"神经网络,自适应滤波器,单片机"
网络控制系统保性能控制,"崔桂梅,穆志纯,李晓理,郝智红","针对网络控制系统中时延不确定因素,将时延的不确定性转换为系统状态方程系数矩阵的不确定性,网络控制系统对象模型为具有时滞的不确定离散模型.在此模型的基础上,将网络控制系统的保性能控制问题转化为研究时滞的不确定离散系统的鲁棒保性能控制问题.利用Lya-punov理论及线性矩阵不等式(LMI)方法,证明了通过状态反馈控制,使网络控制系统保性能控制的充分条件等价于求解LMI.仿真示例验证了该控制方法的有效性.","网络控制系统,保性能控制,时延,线性矩阵不等式,离散系统"
基于FPGA的神经网络硬件实现方法,"李昂,王沁,李占才,万勇","提出了一种可以灵活适应不同的工程应用中神经网络在规模、拓扑结构、传递函数和学习算法上的变化,并能及时根据市场需求快速建立原型的神经网络硬件可重构实现方法.对神经网络的可重构特征进行了分析,提出了三种主要的可重构单元;研究了可重构的脉动体系结构及BP网络到该结构映射算法;探讨了具体实现的相关问题.结果表明,这种方法不仅灵活性强,其实现的硬件也有较高的性价比,使用一片FPGA中的22个乘法器工作于100MHz时,学习速度可达432MCUPS.","神经网络,FPGA,可重构,脉动阵列"
基于对角递归神经网络的建模及应用,"段慧达,郑德玲,刘聪","介绍了对角递归神经网络,针对BP算法收敛慢的缺点,将递推预报误差学习算法应用到神经网络权值和域值的训练.通过对非线性系统辨识的仿真及在磷化温控系统建模中的应用,验证了这种建模方法的有效性.","对角递归神经网络,非线性系统辨识,磷化,递推预报误差"
深度神经网络模型压缩综述,"李江昀,赵义凯,薛卓尔,蔡铮,李擎",深度神经网络近年在计算机视觉以及自然语言处理等任务上不断刷新已有最好性能，已经成为最受关注的研究方向.深度网络模型虽然性能显著，但由于参数量巨大、存储成本与计算成本过高，仍然难以部署到硬件受限的嵌入式或移动设备上.相关研究发现，基于卷积神经网络的深度模型本身存在参数冗余，模型中存在对最终结果无用的参数，这为深度网络模型压缩提供了理论支持.因此，如何在保证模型精度条件下降低模型大小已经成为热点问题.本文对国内外学者近几年在模型压缩方面所取得的成果与进展进行了分类归纳并对其优缺点进行评价，并探讨了模型压缩目前存在的问题以及未来的发展方向.,"深度神经网络,模型压缩,深度学习,网络剪枝,网络蒸馏"
具有时变时滞耦合的两个不同复杂网络的自适应同步,"王健安,刘贺平,石馨","针对两个不同的时变时滞耦合复杂网络,提出一个新的网络同步模型.该模型中的两个网络在节点数目、拓扑结构、内部耦合、耦合时滞及节点动态均可不相同.基于LaSalle不变原理,设计自适应控制器使得两个网络获得同步.进一步研究了具有未知拓扑结构的两个复杂网络的自适应同步问题.数值结果表明了本文方法的有效性.","复杂网络,自适应同步,拓扑结构,时变时滞"
基于卷积神经网络的连续语音识别,"张晴晴,刘勇,潘接林,颜永红","在语音识别中,卷积神经网络(convolutional neural networks,CNNs)相比于目前广泛使用的深层神经网络(deep neural network,DNNs),能在保证性能的同时,大大压缩模型的尺寸.本文深入分析了卷积神经网络中卷积层和聚合层的不同结构对识别性能的影响情况,并与目前广泛使用的深层神经网络模型进行了对比.在标准语音识别库TIMIT以及大词表非特定人电话自然口语对话数据库上的实验结果证明,相比传统深层神经网络模型,卷积神经网络明显降低模型规模的同时,识别性能更好,且泛化能力更强.","卷积神经网络,连续语音识别,权值共享,聚合,泛化性"
铁水含硅量预报神经网络模型,"杨尚宝,杨天钧,董一诚","针对我国高炉的检测水平,采用人工神经网络的方法建立了一种用于铁水含硅量预报的神经网络模型。该模型具有良好的适应性和自学习功能。","高炉,含硅量,预报,神经网络,模型"
人工神经网络方法在Osprey过程中的应用,"傅晓伟,张济山,孙祖庆","以BP反传理论为基础,建立了对Osprey过程的前向多层神经网络,并对其进行测试.利用这一方法研究了Osprey过程中部分参数对孔隙度的影响.结果证明该网络较好地实现了学习和预测.","神经网络,Osprey,孔隙度"
5G超密集网络的能量效率研究综述,"马忠贵,宋佳倩","首先从绿色通信入手, 对网络能量效率的国内外研究现状进行了分析. 在此基础上, 对超密集网络的关键性能指标, 即能量效率的各种定义进行了梳理, 为建模奠定了基础. 其次, 讨论了网络能量效率建模和优化过程中经常使用的4种理论模型: 随机几何、博弈论、最优化理论和分数阶规划. 并综述了能效提升的技术, 包括高能效部署与规划、高能效基站休眠、高能效用户关联、高能效资源管理、高能效传输方式. 最后, 指出未来的可能的技术挑战:网络能效理论与超密集网络体系架构、超密集小基站高能效覆盖机理、超密集网络的柔性资源匹配机理、移动用户群体行为建模与高能效服务方法. 通过研究超密集网络高能效覆盖机理和柔性资源匹配机理, 为未来无线通信网络建模和分析提供设计依据与技术支撑.","能量效率,5G,超密集网络,用户关联,无线资源分配"
基于人工神经网络铝箔轧机轧制力模型,"王邦文,杨光,徐峰,李谋谓,刘圣明,王国平",采用BP神经网络原理对1350mm铝箔轧机轧制数据重新处理，建立了基于人工神经网络的轧制力模型.结果表明，用人工神经网络轧制力模型的计算值与实测值相比较偏差<3%.该模型较真实地反映了轧制过程的特征.,"神经网络,铝箔,轧制力模型"
利用神经网络进行综合机构的建模和控制,"袁中凡,廖俊必,赵世平","介绍了逆模型超前控制器,神经网络反馈单元及由5层神经网络组成的集成控制系统.集成控制系统包括一个由神经网络组成的系统模型和具有自调整功能的控制单元.该方法被用于优化设计的综合机构控制仿真,结果证明了它的先进性和可行性.","综合机构,控制器,神经网络"
多层局部回归网络的非线性系统预测模型,"刘贺平,张兰玲,孙一康","提出采用多层局部回归神经网络建立多变量非线性系统多步预测模型的方法,神经网络模型可提供多步预测控制所需要的系统输出预测值及输出向量对控制向量的雅可比矩阵.仿真试验表明这种动态神经网络的预测模型具有较高的精度.","非线性系统,局部回归网络,神经网络,预测模型"
基于六端网络法的压电超声换能器优化设计,"刘世杰,冯平法,查慧婷,冯峰",压电超声换能器传统四端网络设计方法忽略了压电陶瓷晶堆内部的机电耦合过程，使用该方法所设计的压电超声换能器尺寸误差大，输出的超声振幅较小。为了提高压电超声换能器尺寸设计精度、增大换能器输出的超声振幅，本文将考虑压电陶瓷晶堆内部机电耦合作用的六端网络引入到压电超声换能器的设计中，分别采用四端网络法和六端网络法设计得到两个不同尺寸的压电超声换能器A和B，通过有限元方法对比分析了两个换能器的固有频率和输出振幅，并进一步通过实验验证了设计理论与仿真分析的有效性。研究结果表明，在相同激励电压下，采用六端网络法设计得到的压电超声换能器B输出的超声振幅是换能器A输出振幅的1.5倍，六端网络法设计压电超声换能器可以提高所设计换能器的振动性能。,"压电超声换能器,六端网络法,四端网络法,有限元分析,超声振幅"
神经网络在金属大气腐蚀率预测中的应用,"马小彦,栾艳冰,屈祖玉,李长荣","根据我国大气腐蚀网站积累的环境数据和材料腐蚀数据,采用人工神经网络方法。建立了碳钢及低合金钢在大气条件下,腐蚀率与金属腐蚀暴露时间对应关系的预测模型.结果表明:在相同的大气环境下不同的金属存在着不同的网络;相同金属在不同的大气环境下存在着不同网络;BP算法的形式要根据实际情况而定.","大气腐蚀,人工神经网络,预测"
煤与瓦斯突出预测灰色理论-神经网络方法,"郭德勇,李念友,裴大文,郑登锋","将灰色理论-神经网络方法应用于煤与瓦斯突出预测中,利用灰色系统理论的灰色关联法确定了控制矿井煤与瓦斯突出的主控因素,并对煤与瓦斯突出主控因素进行筛选.建立了煤与瓦斯突出危险性预测人工神经网络的数学模型和系统结构.在平顶山八矿突出区进行了煤与瓦斯突出危险性预测应用,预测效果表明:利用灰色系统理论-神经网络方法对预测矿井煤与瓦斯突出是可行的.","煤与瓦斯突出,突出预测,灰色关联,人工神经网络"
网络动态调度系统的服务质量性能分析,"陶丽红,郝卫东,杨扬,梁哲","提出了考虑具有不同输入速率和输出速率的任务队列的网络动态调度系统状态空间模型,描述了网络动态调度系统的清空型调度策略,并在此基础上给出了系统服务质量性能指标包括队列长度、总任务数量、系统吞吐量、响应时间等的分析算法.数值计算表明,适当的调度策略可以使网络动态调度系统的响应时间处于受控的范围内,系统吞吐量处于稳定的状态.","服务质量,计算机网络,动态调度系统,性能分析,离散事件动态系统"
一种适用于HFC网络CM的QoS解决方案,"宋丽华,李培娅,张燕,王沁","通过对不同网络QoS机制进行分析比较和对DOCSIS1.1规范QoS标准的深入研究,提出了一种适用HFC网络接入网设备CM的QoS机制解决方案.给出了CM QoS体系的设计模型,对各模块进行了详细的功能介绍,从设计上保证了为不同的IP数据提供不同的服务质量.详细阐述了动态业务的发起过程和实现技术,讨论了HFC网络QoS的下一步研究方向.","QoS,DOCSIS1.1,CM,HFC网络,RSVP"
网络控制系统的一种统一的Markov跳变模型,"刘磊明,童朝南","对于网络诱导延迟的上界大于或小于一个采样周期的两种不同情况的连续时间网络控制系统,采用离散化与增广状态空间方法,建立了统一的Markov链离散时间跳变模型.由于模型含有反映系统的网络诱导延迟的大小与计算精度的参数,因此它具有更广泛的适应性.应用离散时间线性跳变系统理论,分析了保证系统均方稳定的充要条件.在所论及的保证系统均方稳定的设计算法中,给出了一种求内点法初始可行解的方法.在延迟带有一定任意性的车载倒立摆的网络控制设计中,该改进算法得到了有效应用.","网络控制系统,延迟,跳变系统,Markov链,离散化,增广状态空间方法"
基于贝叶斯神经网络的带钢厚度预测与控制,"彭开香,余尚志","采用贝叶斯统计学原理改进传统神经网络算法,通过在神经网络的目标函数中引入表示网络结构复杂性的约束项,避免网络的过拟合以提高网络的泛化能力.将改进的神经网络应用于济钢1700mm热连轧机带钢厚度预测中,其预报精度、训练时间和网络稳定性均优于传统神经网络预测;然后应用贝叶斯神经网络预测带钢塑性系数;最后将出口带钢厚度和带钢塑性系数的实时预测值综合应用于带钢热连轧厚度控制系统,改进了传统的厚度控制方式,进一步提高带钢质量.","带钢,热连轧,厚度控制,贝叶斯神经网络"
神经网络在汉语语音识别中的应用,"吴谨,王绍纯","论述了基于神经网络模型的特定人汉语语音识别,并建立了一基于3层BP神经网络的汉语语音识别系统.对汉语10个数字(1~10)进行识别实验,获得了较满意的识别结果.","语音识别,神经网络,特定人,汉语"
一种基于小波网络的混沌时间序列判定,"江亚东,吴竹青,陈因颀,江月","在对混沌时间序列与随机序列的不同特征进行分析的基础上,提出一种可对二者予以区分的判定算法.并结合具有优异特性的小波函数,构造一种小波神经网络.最终给出基于小波网络的集成的混沌时间序列判定一预测算法.","小波神经网络,混沌时间序列,预测"
神经网络在梯度功能材料制备中的应用,"徐雪艳,穆志纯,汪朝霞,郭丽斌","针对梯度功能材料(FGM)制备过程的复杂性,提出了利用神经网络信息处理机制进行制备材料的特性预估;实例分析表明,这一方法是有效的.同时,针对BP学习算法速度较慢,易陷入局部极小的缺点,改用函数型连接网络来提高学习速度.试验表明学习速度提高显著.","神经网络/梯度功能材料,BP算法,函数型连接网络"
应用神经网络建立采矿经验知识库,"李英龙,童光煦","应用神经网络建立了获取采矿方法选择时所需的主要技术经济指标的采矿经验知识库,并以普通全面法为例,描述建造BP网络模型的过程.研究结果表明:利用这个采矿经验知识库,就可以根据采矿方法的工程背景,求得它的主要技术经济指标.","采矿工程,神经网络/知识库,BP模型"
基于神经网络的自适应故障模式分类方法,"潘紫微,徐金梧","在深入研究APT-2神经网络结构的基础上,提出了一种基于神经网络的自适应故障模式分类方法,并应用在轴承故障诊断中,结果表明:该方法对轴承故障模式具有自学习、快速稳定的识别能力。","故障诊断,神经网络,轴承,模式识别,ART-2网络"
基于有向权值网络的航班运行风险传播与控制,"王岩韬,杨志远,刘锟,谢春生",为了分析航班运行风险传播过程，进而有效控制保障飞行安全，基于复杂网络理论，首先参照民航局咨询通告选取机组、航空器、运行环境共29个终端因素作为网络节点，统计民航安全监察记录，根据事件中节点关系，构建无向网络；统计前后节点间的作用关系和发生概率，提出一种有向带权的航班运行风险网络；然后，引入改进感染率和改进恢复率概念，构建一种适用于航班运行风险传播分析的改进SIR(Susceptible-infected-recovered)模型；定义感染起始范围，最后采取多参数控制方式，大规模计算该有向带权网络的传播和控制过程。结果表明：有向网的平均最短路径为1.788，属于小世界网络；参照使用民航常规管控措施，有向网节点感染下降幅度可达到37.4%；对入度值排序前3或前4的节点控制后，感染节点峰值下降率高达50.6%和58.1%，网络传播抑制明显。结果证实：在该航班运行风险有向带权网络中，按入度值控制节点对抑制风险传播最为有效。,"航空运输,航班运行风险,复杂网络,有向带权网络,改进SIR模型"
基于人工神经网络的扁钢轧制力模型,"赵伦,王邦文,韩素梅","根据BP人工神经网络算法原理,结合某厂型钢轧机轧制扁钢时的轧制力实测数据,对扁钢轧制力进行建模.结果表明,神经网络用于轧制力建模是可行的,所建模型系统误差<1%,模型计算值与实测值的偏差<4%,较好地反映了实际轧制过程的特征.","系统建模,神经网络,轧制力模型"
一种局部回归神经网络的快速算法,"王飓,刘贺平","针对目前局部回归神经网络动态BP算法的误差导数计算复杂、收敛速度慢的缺陷,提出了一种新的快速算法.该算法是将信号流图引入动态BP算法,较好地解决了求解误差导数的复杂性,同时采用BFGS算法加快了网络的收敛速度.仿真结果表明了本算法的有效性.","局部回归神经网络,动态BP算法,信号流图,BFGS"
基于人工神经网络的热轧碳钢变形抗力预报,"韩丽琦,臧勇,邹家祥,章博","以恒应变速率凸轮压缩试验机得到的实验数据为基础,采用人工神经网络的方法建立了碳钢变形抗力与应变、应变速率及温度对应关系的预测模型,与多元非线性回归模型比较,神经网络模型具有较高的预测精度.","人工神经网络,变形抗力,凸轮压缩试验机"
