标题,作者,摘要,关键词
改进粒子群优化神经网络及其在产品质量建模中的应用,"王建国,阳建宏,云海滨,徐金梧","针对传统神经网络优化算法易陷入局部最优值的问题,在标准粒子群算法的基础上,对粒子速度与位置更新策略进行改进,提出一种基于改进粒子群优化算法的BP神经网络建模方法.使用sinc函数、波士顿住房数据及某钢厂带钢热镀锌生产的实际数据进行验证.结果表明,与标准的反向传播神经网络和支持向量机相比,基于改进粒子群优化的神经网络模型可以有效提高预测精度.","BP神经网络,粒子群优化算法,产品质量模型,带钢热镀锌"
人工神经网络预测纯金属的表面张力,"桂玮珍,谢允安,乔芝郁",建立了以纯金属原子半径、熔点、沸点和原子化焓预测表面张力的人工神经网络模型．训练后的神经网络能较好的拟会实验数据.对40种金属的表面张力进行回想和预测结果与实验值的偏差在可接受范围内，表明人工神经网络在纯金属表面张力预测方面有一定的前景．,"表面张力,人工神经网络,反传学习"
等参数图的最大与最小距离树对及其在电网络分析中的应用,"穆珍,黄汝激","本文推广了线图的树对及其距离的概念,提出了等参数图及其树对和树对之距离的概念。给出了等参数图中任一树对为一最大（或最小）距离树对的充分必要条件和相应的算法,讨论了等参数图中最大与最小距离树对在电网络分析中的应用,给出了网络图主划分算法1的对偶算法和电网络的最优调和分解算法。","电网络,等参数图,最大(小)距离树对,调和分解"
一种用于模拟汉字认知过程的多层自组织神经网络,"杜大鹏,穆志纯,陈静,方新","为了模拟汉语初学者的汉字认知过程,在Kohonen神经网络的基础上,改进了其网络结构和算法,并且将改进后的网络输出层根据Hebbian学习规则连接,构建了一个多Kohonen网络协同工作的汉字认知自组织神经网络模型.模拟研究结果表明,模型能够成功地学习到汉字的结构类型,且能有效识别出汉字的部件,在一定程度上模拟了汉字认知的部分过程,说明该模型用于汉字认知乃至汉语言习得的可行性.","自组织神经网络,多层,汉字学习,汉字结构类型,汉字部件"
基于Agent的安全协议对抗Ad Hoc网络下的拒绝服务攻击,"陈红松,王昭顺,宁淑荣","拒绝服务攻击是AdHoc网络安全领域中的难题,本文提出一种新型的基于Agent的安全路由协议,Agent可根据其邻节点的可信度定期更新以适应AdHoc分布式路由计算环境,有效提高网络的可信性,降低网络安全计算的复杂度;根据拒绝服务攻击的特征抽取出Agent安全规则与检测算法.采用NS2网络模拟器的仿真结果表明,该方法能有效的检测出拒绝服务攻击并进行及时响应,使网络性能迅速恢复正常.","Ad Hoc路由协议,智能体,入侵检测,网络安全"
基于粒子群优化算法和博弈论的网络学习控制系统带宽调度,"严翔,李洪波,王立德,申萍",研究了双层网络学习控制系统的带宽调度优化问题.为了合理分配子系统的带宽，引入了网络定价体系和动态带宽调度方法，建立了非合作博弈模型，从而将网络控制系统的网络资源分配问题转换为非合作博弈竞争模型下的Nash均衡点求解问题.在此基础上，采用粒子群优化算法得到此框架下的纳什均衡解，并进一步给出了网络控制系统的时间片调度方法.仿真结果表明了所提方法的有效性.,"网络控制系统,定价,博弈论,粒子群优化算法"
热轧机有限元与神经网络集成建模,"胡长斌,童朝南,彭开香","以某钢厂1580热连轧生产数据为基础,提出一种有限元与神经网络集成建模的方法.该方法首先对轧制过程的塑性变形进行有限元建模,然后结合有限元数值分析方法和智能技术的优点,实现有限元和神经网络的集成建模.集成模型中的神经网络模型为有限元模型提供参数调整的依据,并且在神经网络训练过程中使用改进的混沌粒子群优化算法对神经网络进行优化.通过与现场实际生产数据进行比较,验证了该模型的有效性.","热轧机,轧制,塑性变形,有限元分析,神经网络"
保护私有信息的社交网络合群判定,"姚亦飞,郑榕,尚伟昌",为了解决社交网络中用户申请加入群组的合适性判断问题，将安全多方计算技术中的求和协议与秘密比较协议相结合提出了保护私有信息的合群判定协议.其中基础协议解决一维线性模型下问题的安全求解，扩展协议对基于圆边界的多维模型情况进行判定.针对单一申请者与网络群组多用户的特点，将问题转换为两方计算模型可实现的形式，在证明了协议正确性的基础上分析协议的复杂度，并且利用安全视图的方法逐步验证了在协议执行过程中不会泄露任何个人的隐私数据.实际使用中协议能够有效地回避盲目的系统推荐和管理员离线所产生的判定时延，同时保护申请者和群组成员的隐私数据.,"社交网络,数据保密,网络安全,网络协议"
一种混合方式的无线传感器网络测试调试系统,"王沁,潘光荣,王磊,何杰","无线传感器网络是典型的网络化嵌入式系统,由于其既涉及嵌入式系统的行为又涉及网络的行为,以及其应用相关性,使其测试调试变得困难复杂,无法构建一个通用的测试调试平台.为有效地测试调试无线传感器网络,在分析已有的研究工作基础上,采用半实物的仿真策略,提出了一种混合方式的无线传感器网络测试调试系统,解决了纯粹软件仿真平台掩盖太多实际器件实现的细节和实际环境测试中嵌入式系统行为和网络行为不可见、不可控性的缺陷,达到了一种折中的效果.最后给出了该系统在FPGA(field programmable gate array)上的实现实例;通过实验验证了该系统能够有效地对无线传感器网络应用进行测试调试.","无线传感器网络,测试调试,网络仿真,环境测试"
面向物联网业务绿色接入的异构蜂窝网络优化,"刘娅汐,皇甫伟",物联网是未来赛博使能业务的重要支撑平台。蜂窝网络则被认为是广泛分布在部署区域中的物联网终端数据接入的主要渠道，尤其在广域覆盖方面具有难以替代的价值。在满足覆盖要求的条件下，降低蜂窝网络基站的下行发射功率在绿色通信方面具有重要的研究意义。由此提出了一种基于优化目标平滑近似和均方根传播策略的梯度下降算法，在满足物联网业务覆盖率的条件下最小化基站的总下行发射功率。首先，使用罚函数方法将复杂约束条件的异构蜂窝网络优化问题转化为简单约束形式的优化问题；其次，将不可导的目标函数通过平滑近似转化为可导形式，并给出其对天线下倾角和下行功率参数的梯度解析形式；最后，使用均方根传播梯度下降算法进行转化后的目标函数优化。仿真实验结果表明该算法可以在满足覆盖率指标的条件下最小化基站的总下行发射功率，与现有元启发算法和普通梯度下降算法相比，具有良好的收敛速度，并能更好地抑制优化过程中振荡。,"物联网,覆盖率,总下行功率损耗,天线下倾角,梯度下降法"
基于动态优化细节感知网络的遥感图像分割方法,"梁书绮,王雷,孙燕青,杨善良,李彬",现有的遥感图像分割模型，例如基于卷积神经网络（Convolutional neural network，CNN）和基于Transformer框架的模型，取得了巨大成功，但是还存在难以完整保留原始编码器特征图细节、动态捕捉全局上下文信息等缺点. 因此，基于CNN–Transformer混合框架，提出了一种全新的基于动态优化细节感知网络（Dynamic optimized detail-aware network，DODNet）的分割方法. 首先，在编码器采用ResNext–50作为主干网络，提出一种多重减法感知模块（Multi-subtraction perception module，MSPM）来收集多尺度特征图之间的空间细节差异，有效减少冗余信息. 然后，在解码器设计一个动态信息融合模块（Dynamic information fusion block，DIFB），它结合了全局双层路由自注意力分支和局部注意力分支，用于提高全局和局部信息的获取能力. 最后，提出一种新的通道空间注意力模块—统一特征提取器（Unified feature extractor，UFE）以进一步获取语义和上下文信息. 在Vaihingen、Potsdam和LoveDA三个经典公开数据集，通过对比和消融实验的定量和可视化分析表明，所提方法在F1分数、总体精度（Over accuracy，OA）和平均交并比（Mean intersection over union，mIoU）评价指标中优于十种最先进的分割方法，其中平均交并比分别达到了84.96%、87.64%和52.43%，验证了所提方法在分割具有复杂背景、内类方差大和类间方差小问题的高分辨率遥感图像的优越性能.,"遥感图像,语义分割,CNN–Transformer框架,动态Transformer,多尺度减法"
基于卷积神经网络的反无人机系统声音识别方法,"薛珊,李广青,吕琼莹,毛逸维",针对如何识别无人机的问题，提出了一种基于卷积神经网络的声音识别无人机的方法。首先，对100 m范围内的无人机、鸟和人的声音进行采集、预处理和提取MFCC+GFCC特征值，将其特征参数作为卷积神经网络学习和识别的数据集；然后分别设计了支持向量机和卷积神经网络两种模型对无人机等声音进行识别实验。实验结果表明，运用支持向量机识别无人机的准确率为91.9%，卷积神经网络识别无人机的准确率为96.5%。为了进一步验证设计的卷积神经网络的识别能力，在部分UrbanSound8K数据集上进行测试，准确率达到90%。实验结果表明运用卷积神经网络识别无人机具有可行性，且识别性能优于支持向量机。,"无人机,声音检测,公共安全,MFCC特征值,GFCC特征值,卷积神经网络"
基于树突神经网络的低轨卫星智能感知路由算法,"刘洋,王丽娜",在低轨卫星网络中，卫星运行速度快、运行周期较短，星间链路动态变化。为了及时感知星间链路状态并选择正确的路由，提出一种基于树突神经网络的低轨卫星智能感知路由算法，通过卫星之间的可视性约束分析星间建链情况，实现星间链路态势感知；通过实时构造训练集，利用树突神经网络自动调整全局卫星网络链路的权值，进而优化传统迪杰斯特拉(Dijkstra)算法，实现星间链路质量感知，给出智能路由决策；通过周期性监测卫星网络拓扑，实时修正初始路由路径。仿真结果表明，基于树突神经网络的路由算法复杂度低，路径时延、时延抖动及丢包率均低于传统启发式路由算法和Dijkstra路由算法。,"低轨卫星路由,智能感知,树突神经网络,机器学习,星间链路"
卷积神经网络在矿区预测中的研究与应用,"袁传新,贾东宁,周生辉",在研究富钴结壳高产区地形特征基础上，以富钴结壳站点地理坐标为中心，获得了一平方公里的海拔高度数值矩阵作为地形特征。使用卷积神经网络的分析方法对数值矩阵进行训练，学习坡度和平整度等区域特征，将富钴结壳站点地形和其他海底地形进行区分。依据训练后获得的模型，对富钴结壳高产区进行预测，取得了较好的预测效果，结合其他因素的影响，可以提高结壳靶区选取的精准度。,"富钴结壳,海底地形,数值矩阵,卷积神经网络,矿区预测"
考虑固液分子作用的多孔介质动态网络模型,"王小锋,朱维耀,邓庆军,刘启鹏,隋新光,娄钰,高英,张雪龄",根据质量守恒定律，从固液分子力作用出发，结合岩心的孔喉分布特征，建立考虑固壁与流体分子作用的动态网络模型.利用模型模拟得到不同时间步的孔隙压力变化，分析了固液分子间力、喉道半径、润湿性等因素对剩余油饱和度分布和水驱相渗曲线的影响.研究结果表明，考虑固液分子间力作用时剩余油饱和度增大，岩石骨架与流体间的分子作用在多孔介质的孔隙流动中不可忽略.,"油田开发,多孔介质,渗流,分子间力,孔压,数学模型"
线性多回路反馈网络的N口统一参数理论,黄汝激,"本文提出了N口线性网络的统一参数慨念和统一参数理论。应用这个理论研究了一般线性多回路反馈网绍的回归差矩阵与零回归差矩阵,导出它们与网络的统一参数矩阵之间的关系,业将Blackman方程推广到从一口集到另一口集的传递矩阵的情况,从而建立了线性多回路反馈网络的N口统一参数理论。这个理论一个典型应用是解决了一般复合反馈放火器的理论分析问题。",
基于ICA和BP神经网络的人耳图像识别,"张海军,穆志纯,张成阳","提出了一种独立分量分析和BP神经网络相结合的人耳识别新方法(ICABP法).首先采用快速独立分量分析方法提取人耳图像的独立基图像和投影向量,然后采用改进的三层BP神经网络进行分类识别.该方法将ICA的空间局部特征提取功能和BP神经网络的自适应功能有机地结合起来,增强了系统的鲁棒性.实验表明,ICABP法取得了很高的识别率.","人耳识别,独立分量分析,BP神经网络,特征提取"
板形板厚综合系统的解耦神经网络预测控制方法,"石中锁,孙一康","给出了板形板厚综合控制模型,提出了基于TH神经网络的动态矩阵设计方法并分析了其收敛特性.使用不变性原理对板形板厚综系统进行了解耦设计,并对板形板厚解耦神经网络预测控制系统,进行了仿真研究.结果表明神经网络可在儿百ns的时间内达到稳定状态,不仅满足了轧钢过程的快速性要求,而且控制精度也得到了提高.","控制/动态矩阵,神经网络,板形板厚综合系统,收敛性"
一种基于轻量级神经网络的高铁轮对轴承故障诊断方法,"邓飞跃,丁浩,吕浩洋,郝如江,刘永强",深度神经网络技术用于机械设备故障诊断展现出了巨大潜力，但繁重复杂的计算量对计算机硬件提出了严苛的要求，严重限制了其在实际工程中的应用。基于此提出一种新型的轻量级神经网络ShuffleNet，用于高速列车轮对轴承故障诊断研究。该网络模型基于模块化设计思想，包含多个高效率的ShuffleNet单元，通过运用分组卷积与深度可分离卷积技术极大改善了传统卷积操作的运算效率；同时使用通道混洗方法克服了通道分组带来的约束，改进了网络的损失精度。实验分析表明，所提网络模型可有效用于复杂工况下高速列车轮对轴承故障诊断，相比传统卷积神经网络、残差网络和Xception等当前深度神经网络模型，在保证诊断精度的同时，运行效率得到大幅提升。这为深度神经网络技术应用于工程实际，克服计算机硬件条件限制提供了一条新的途径。,"轮对轴承,高速列车,故障诊断,深度神经网络,ShuffleNet单元"
工业网络体系架构的演进、关键技术及未来展望,"王健全,马彰超,孙雷,张超一,李卫","基于工业互联网应具备的特征，结合现有工业互联网总体现状，分析总结传统工业自动化封闭式五层架构存在的问题。首先，提出支持数据高效流转的云、边端新型工业网络协同架构，架构的变革对现有技术提出挑战，同时也为传统自动化系统提供了新的机遇。其次，在总体架构的基础上，提出适配新型工业网络基础架构的两项关键技术。5G–时间敏感网络（Time-sensitive networking, TSN）协同传输技术，包括5G–TSN异构网络融合架构、网络时钟适配机制以及基于软件定义网络（Software defined network，SDN）的融合管控和资源调度三部分技术内容；基于确定性网络的云化可编程逻辑控制器（Programmable logic controller，PLC）技术包括工业控制虚拟化和5G云化工业控制技术两部分技术内容。基于此，提出自主设计面向实时运动控制的5G云化PLC与EtherCAT融合系统，以及面向实时运动控制的EtherCAT与TSN融合系统试验平台，并验证了新型工业网络架构的科学性和合理性。最后，对未来网络、控制、计算一体化工业自动化系统中的高效性、可靠性和安全性之间的融合问题及潜在解决方案进行了探讨。","工业互联网,智能制造,时间敏感网络,5G,工业控制虚拟化,自动控制,云化可编程逻辑控制器"
基于自适应—相似修正的网络安全态势预测方法,"王娜, 常娅明, 刘佳林",针对网络安全态势预测问题，提出一种基于自适应—相似修正的预测方法。首先，提出一种步长自适应策略来确定预测模型的初始输入。即，引入变分模态分解来提取原始态势数据集的模态分量集；并对分量集中的周期分量，利用快速傅里叶变换确定其周期个数，作为其对应预测模型的输入长度；对非周期分量，利用递减Lempel-Ziv复杂度准则来自适应确定其对应预测模型的输入长度。其次，对模态分量的每个分量值，由训练数据集来构建其对应的支持向量机子模型。再次，在给定的初始输入长度下，基于余弦方差相似度判据，在训练数据集中筛选与测试集初始输入长度相同、变化趋势相似的数据子集。然后，基于上述支持向量机子模型，对该相似数据子集获得初始预测结果，并将相似数据子集与其初始预测结果作为最终的预测模型输入，实现对初始支持向量机子模型的修正。最后，在标准网络安全数据集NSL-KDD上的实验表明：所提单步预测方法均方误差(MSE)为0.000175、平均绝对误差(MAE)为0.0107、决定系数(R2)为98.40%，其预测精度显著优于传统浅层学习、深度学习及支持向量机方法；在四步预测中，引入修正机制后效果更明显，与修正前相比，MAE、MSE分别降低了29.00%、53.69%，R2提升了5.03%；综上，验证了基于自适应—相似修正的预测方法的较高预测准确性。,"态势预测,快速傅里叶变换,支持向量机,Lempel-Ziv复杂度,余弦方差相似度"
神经网络应用于烧结矿质量在线推断,"邵贤强,张铁军,瞿寿德,邱道尹","针对烧结过程生产实际,运用神经网络中的BP学习算法设计了分类器,用于在线推断烧结矿的质量。为了加快BP学习算法的收敛速度,采用了自适应变步长学习算法。实验结果表明,由此建立的烧结过程神经网络质量预报模型,预报正确率高,具有很好的泛化能力。","烧结,神经网络,模式识别/自适应变步长"
基于BP神经网络的CVC冷连轧机板形预测控制模型,"周晓敏,张清东,王长松,陈守群,何汝迎,许健勇","将BP神经网络建模方法与预测控制思想相结合用于宽带钢板形自动控制,研究并建立了基于BP神经网络的板形预测控制数学模型.经用宝钢1420mm冷轧实测数据仿真验证表明该模型具有很高的预测精度.","神经网络,板形自动控制,预测控制系统"
神经网络专家系统的状态识别、知识表示和求解策略,"郑德玲,李育晖","将神经网络与人工智能技术相结合,提出了1种新型的知识表示的形式化描述和知识单元。知识通过模式分类导入,并用IMSBP和(B-B)BP调节2种不同类型的权。在此基础上提出了神经网络的双向求解策略。以加热炉控制验证了其可行性。","专家系统,神经网络,状态识别,自学习"
高炉异常炉况判断专家系统及神经网络的实现,"程冬超,王顺晃,林克真","提出高炉异常炉况判断专家系统原理及实现方法.针对一般专家系统知识获取""瓶颈""现象,引入神经网络实现高炉异常炉况判断.仿真结果表明,这种方法实用可行,为高炉异常炉况判断采用神经网络实现提供了1个很好的实例.","专家系统,高炉,神经网络,模糊逻辑"
人工神经网络在O'-Sialon-BN复合材料设计中的应用,"甄强,李文超","对神经网络和传统模式识别技术的基本原理和应用特点进行比较.根据已有烧结合成O'-Sialon的实验数据,利用改进后的人工神经网络,构筑了材料相组成及性能的预测模块,并与模式识别技术处理得到的结果进行了比较.在此基础上,探索了合成O'-Sialon-BN复合材料的工艺条件,并通过实验结果进行了验证.","人工神经网络,模式识别,o'-Sialon-BN,材料设计"
基于LVQ神经网络的冷轧带钢表面缺陷分类方法,"吴贵芳,徐科,徐金梧","将LVQ神经网络用于冷轧带钢表面缺陷的自动分类中,解决了以往分类方法在多缺陷模式类型情况下耗时多和准确率低的问题.对现场采集到的14种主要缺陷类型进行了实验.实验结果表明,基于LVQ神经网络的分类器训练与分类的时间短,在多缺陷种类分类的过程中准确率能得到保证.","冷轧带钢,表面缺陷,缺陷分类,LVQ神经网络"
巡线机器人延迟容忍传感器网络数据传输策略,"樊飞,吴功平,王满,徐青山,曹琪,杨松","巡线机器人延迟容忍传感器网络(delay tolerant mobile sensor networks for inspection robot,DTMSNR)用于输电线路巡线机器人远程电网数据收集,具有节点稀疏、异构、随机移动性、间歇连通性和延迟容忍性.针对传统传感器网络数据传输算法机器人数据传输成功率低与网络可靠性差等问题.提出一种基于巡线机器人位姿信息的数据传输(mobile robot position-based delivery,MPD)策略.为准确计算巡线机器人网络位姿信息,建立机器人路径约束随机运动模型.MPD采用机器人相对网络位姿信息计算传输概率,进行消息传输路径选择.对网络异构消息引入机器人消息优先传输、消息失效机制进行消息队列管理.仿真实验表明,相较现有的几种延迟容忍传感器网络(delay tolerant mobile sensor network,DTMSN)数据传输策略,针对巡线机器人网络MPD能在适当的传输能耗下达到更高的传输成功率与更低的传输延迟.","巡线机器人,延迟容忍传感器网络,数据传输,队列管理,输电线路监控"
用户属性感知的移动社交网络边缘缓存机制,"杨静,武佳,李红霞",针对数据流量爆发式增长所引发的网络拥塞、用户体验质量恶化等问题，提出一种用户属性感知的边缘缓存机制。首先，利用隐语义模型获知用户对各类内容的兴趣度，进而估计本地流行内容，然后微基站将预测的本地流行内容协作缓存，并根据用户偏好的变化，将之实时更新。为进一步减少传输时延，根据用户偏好构建兴趣社区，在兴趣社区中基于用户的缓存意愿和缓存能力，选择合适的缓存用户缓存目标内容并分享给普通用户。结果表明，所提机制性能优于随机缓存及最流行内容缓存算法，在提高缓存命中率、降低传输时延的同时，增强了用户体验质量。,"移动社交网络,边缘缓存,流行度预测,隐语义模型,社会属性"
网络安全等级保护下的区块链评估方法,"朱岩,张艺,王迪,秦博涵,郭倩,冯荣权,赵章界",等级保护（简称等保）是我国信息安全的基本政策，随着区块链技术在各行业中的应用日趋广泛，有必要同步推进区块链系统的等级保护测评工作，这将有利于推动该技术在我国的持续健康发展。有鉴于此，依据等保第三级的应用和数据安全要求，给出了区块链系统中对等网络、分布式账本、共识机制和智能合约等核心技术的具体测评要求及实施方案，并从等保2.0规定的控制点出发，分别对当前区块链系统运行数据与基于日志流程的安全审计机制进行了归纳与分析。通过上述评估与分析可知区块链系统在软件容错、资源控制和备份与恢复等方面满足等保要求，而在安全审计、身份鉴别、数据完整性等方面则有待进一步改进。,"区块链,网络安全等级保护,对等网络,共识机制,评估与分析"
BP神经网络IF钢铝耗的预测模型,"张思源,包燕平,张超杰,林路","为了解决某钢厂IF钢冶炼RH精炼过程铝耗偏高问题,通过数理统计和BP神经网络相结合的方法建立了铝耗预测模型,并与多元线性回归模型进行比较,该模型具有更高准确度.该模型分析了不同冶炼工艺参数对铝耗的具体影响,并对相应工艺参数进行了优化.结果表明:脱碳结束氧活度或RH进站氧活度降低0.005%左右,每吨钢铝耗可降低0.07~0.08 kg,铝脱氧有效利用系数为70.31%~80.35%;RH进站钢液温度增加35~40℃,铝耗降低1 kg左右,铝热反应升温利用系数在97.4%左右;吹氧量小于100 m3和大于100 m3时,氧气与铝反应的比例分别为37.3%和74.6%左右,吹氧量每增加50 m3,铝耗分别增加0.1 kg和0.2 kg左右.工艺参数优化后平均铝耗由1.359 kg降低到1.113 kg,降幅达18.1%.","IF钢,低碳钢,铝耗,神经网络,预测模型"
