标题,来源,时间,概要
湘聚算力|2025世界计算大会先进计算与人工智能融合驱动新实体专题...,红网,未知时间,红网时刻新闻11月20日讯（记者 王嫣）什么是具身智能？它有哪些特点？如何更好地实现这一技术的突破与产业跃迁？11月20日下午，2025世界计算大会先进计算与人工智能融合驱动新实体专题...
"省市领导密集“点题”,最强地级市苏州如何发力人工智能?",每日经济新闻,未知时间,"“‘杭州六小龙’是‘冰山一角’,背后是长三角人工智能产业体系在支撑。”曾刚特别强调,南京、苏州乃至江苏的人工智能发展,需融入长三角一体化进程,在长三角产业集群中找准自己的定位。"
"COP30中国角聚焦人工智能,共议数字技术驱动全球气候治理",21世纪经济报道,未知时间,今年，《联合国气候变化框架公约》第三十次缔约方大会（COP30）首次将人工智能列为关键讨论主题之一，并发布气候相关“人工智能倡议”，旨在支持各国政府加速开发基于此的气候解决方案。当地时间11月18日，COP30中国角举办数字化日活动，集中讨论和展示了利用AI提升全...
"人工智能泡沫或许已经破裂,但行情仍有望持续",钛媒体官方网站,未知时间,"人工智能泡沫或许已经破裂,但行情仍有望持续 AI板块的股票之间的分化比你想象的还要大。 不久前,只要在公司新闻稿中提到“人工智能”,股价就会随之上涨。 然而,随着市场环境的变化,投资者对AI的热情似乎正在减退。尽管Target宣布与OpenAI合作以提振业绩,但股价几乎没..."
澳洲会计师公会调查:中国内地人工智能应用激增 财会人才需求加速...,证券时报,未知时间,11月20日，全球最大的专业会计团体之一澳洲会计师公会最新发布的《2025年商业科技应用调查》显示，过去12个月，中国内地企业的人工智能（AI）应用率与应用成熟度实现同步提升。调查显示，AI的快速发展正深刻重塑财会领域的核心技能要求，并驱使财会人才加速转型。另一...
人工智能系列谈丨加速AI从技术创新到价值创造,新华网,未知时间,人工智能系列谈丨加速AI从技术创新到价值创造 中兴通讯副总裁、中国区战略规划总工张嗣宏在第12届新华网思客年会作观点分享。新华网 发 “十五五”规划建议明确提出，适度超前建设新型...
广西创建人工智能博士后创新联合体,中国组织人事报,未知时间,本号南宁讯（记者 徐丽洁）11月19日，由广西自治区人力资源社会保障厅主办的广西人工智能博士后创新联合体（以下简称“博联体”）创建启动仪式圆满举行。现场，博联体11家成员单位代表...
"指数回调现布局窗口,人工智能ETF(159819)全天净申购超2000万份",每日经济新闻,未知时间,"截至收盘,中证人工智能主题指数下跌0.5%,上证科创板人工智能指数下跌0.8%,资金加仓态度明确,人工智能ETF(159819)全天净申购超2000万份。 华泰证券指出, AI竞争已从单纯的技术参数比拼转..."
生成式人工智能背景下的文化治理现代化路径研究,光明网,未知时间,在全球信息高速流动的格局下，生成式人工智能能够跨越时空限制的特性，使有害信息可以借助算法精准渗透，形成对认知安全、价值安全的冲击。从深度伪造到伪原创，从虚假新闻到文化话语操控，这些风险往往隐蔽、扩散迅速。历史上，文化渗透往往以渐进方式侵蚀民族精神，...
深度融合场景是AGI技术落地的关键丨云知声CEO黄伟在2025人工智能+...,北青网,未知时间,"2025年8月26日,国务院《关于深入实施“人工智能+”行动的意见》正式发布,明确提出到2027年,我国将推动人工智能与产业、医疗等重点领域深度融合,实现新一代智能终端普及率超过70%,智能经..."
深度融合场景是AGI技术落地的关键丨云知声CEO黄伟在2025人工智能+...,北青网,未知时间,"11月15日-17日,以“AI下一个十年:场景驱动×新质引擎”为主题的2025人工智能+大会主论坛在北京中关村国际创新中心举办。大会由国家高新区人工智能产业协同创新网络、中央广播电视总台《..."
"思必驰俞凯出席2025人工智能+大会,谈AI规模化落地的机遇与策略",千龙网,未知时间,11月15-17日，以“AI下一个十年：场景驱动×新质引擎”为主题的2025人工智能+大会在北京中关村国际创新中心举行。本次大会由国家高新区人工智能产业协同创新网络、中央广播电视总台《赢...
"医疗AI告别野蛮生长,“医疗评测基准发布与医学人工智能评测联盟...",上观新闻,未知时间,医疗人工智能告别野蛮生长，推动从“可用”到“好用”。今天上午召开的“智汇医学AI无界”浦江医学人工智能大会暨首届上海市医学人工智能应用技能大赛总结会上，医疗评测基准发布与医学...
“上地UPSIDE”2025人工智能创新创业大赛在京颁奖,中国新闻网,未知时间,中新网北京11月20日电  “上地UPSIDE”2025人工智能创新创业大赛盛典19日在北京举行。本届大赛创新设立新加坡海外专场、长三角专场、粤港澳专场，首次构建起“辐射全球”的引智通道。图...
"广东:积极推动人工智能与机器人产业创新发展,开展“人工智能+...",财联社,未知时间,【广东：积极推动人工智能与机器人产业创新发展，开展“人工智能+”行动、“机器人+”行动】财联社11月20日电，广东省人民政府印发《广东省国家数字经济创新发展试验区建设方案（2025—2027年）》，其中提出，拓展终端产业新场景。积极推动人工智能与机器人产业创新发...
四川省人工智能产业投融资对接会在绵阳举行,中国新闻网,未知时间,中新网四川新闻11月20日电 (郭文丹)11月19日，以“金融赋能智创生态”为主题的四川省人工智能产业投融资对接会在绵阳举行。省直有关部门、产业链主要承载地与协同发展地、市级及科技城...
"广东:建立健全人工智能安全监管制度,开展人工智能产业促进条例...",每日经济新闻,未知时间,依法合理设置数字经济领域行业准入规定，积极扩大数字产品市场准入。推动数字经济领域标准体系建设，鼓励企事业单位积极参与数字领域标准制修订。完善知识产权数字化服务资源供需对接，支持建设、使用国产知识产权数据库，加强数字经济领域知识产权保护。建立健全人工...
东吴证券:人工智能在债券承销领域的应用及建议,新华网,未知时间,"目前,人工智能(AI)技术正以前所未有的力量重塑投资银行业的格局,债券承销作为其核心业务之一,也正处于一场深刻的技术变革之中。当前,AI在国内外债券承销领域的应用已从概念验证逐步走向实践,主要集中在提升运营效率、优化风险管理和增强决策科学性三大维度。"
"随着欧盟委员会推迟法律的关键部分,《人工智能法案》成为批评者的...",虎嗅APP,未知时间,"随着欧盟委员会推迟法律的关键部分,《人工智能法案》成为批评者的一个案例研究,他们认为欧盟将监管置于创新之前。 2小时前 011 补刀团团长 欧盟这次真是把监管放在了创新前面呀 2小时前·山东 00 相关文章 为什么麦肯锡总“逼”企业家设定“不可能完成”的目标?高中生..."
"AI巨头财报与大模型进化共振,持续关注人工智能ETF(159819)、科创...",每日经济新闻,未知时间,"人工智能ETF(159819)、科创人工智能ETF(588730)分别跟踪上述指数,为投资者提供了布局海内外AI基础设施与前沿技术应用的便捷工具。 如需转载请与《每日经济新闻》报社联系。 未经《每日经济新闻》报社授权,严禁转载或镜像,违者必究。"
"迪拜科技高官:全球人工智能比拼的下一站不是技术,是“以人为本”",中国日报网,未知时间,数字迪拜、迪拜数据和统计机构首席执行官尤努斯·阿尔·纳赛尔11月18日在《中国日报》撰文称，如何确保人工智能，让人工智能真正为人类谋幸福，而非加剧风险或不平等，是当前世界国际社会共同面对的议题。文章呼吁各国探索建立人工智能治理的相关规章制度，以人类价值...
中外智能交通行业领域专家热议人工智能赋能交通发展新路径,央广网,未知时间,央广网海口11月20日消息（记者  蔡文娟）11月19日，以“人工智能——智能交通高质量发展新动能”为主题的第二十届中国智能交通大会在海南海口举办，来自国内外智能交通行业相关领域的领...
人工智能多场景应用加速落地,中国青年网,未知时间,作为新一轮科技革命和产业变革重要驱动力，人工智能（AI）已经成为互联网行业跃迁的强大引擎。“随着大模型等新一代人工智能迭代升级，互联网时代积累的数据金矿被不断挖掘，推动我国加...
国务院关于深入实施“人工智能+”行动的意见,央视网,未知时间,"为深入实施“人工智能+”行动,推动人工智能与经济社会各行业各领域广泛深度融合,重塑人类生产生活范式,促进生产力革命性跃迁和生产关系深层次变革,加快形成人机协同、跨界融合、共创分享的智能经济和智能社会新形态,现提出如下意见。 一、总体要求 以习近平新时代中国..."
"人工智能,大浪淘沙",北京日报客户端,未知时间,人工智能（Artificial Intelligence，AI）作为引领新一轮科技革命和产业变革的战略性信息技术，现已成为驱动科技创新、经济发展、社会进步和民生改善的重要力量。生成式人工智能（Gener...
“AI+”赋能高质量就业 大数据、人工智能助力供需双方精准对接,央视网,未知时间,"记者在采访中发现,面对多元化的就业群体,不少招聘现场引入了大数据、人工智能等现代技术,促进供需精准匹配。具体情况如何?来看记者的探访。  这段时间,在北京顺义区人力资源公共服务中..."
人工智能能力建设普惠计划,央视网,未知时间,"央视网消息:据外交部网站,为弥合数字和智能鸿沟,特别是帮助全球南方在人工智能发展进程中平等受益,中方认为要坚持联合国在国际发展合作中的统筹协调作用,坚持真正多边主义,基于主权平等、发展导向、以人为本、普惠包容、协同合作原则,通过南北合作、南南合作和三方合..."
我国推动“AI+X”跨界人才培养 人工智能就业前景让相关专业热度...,央视网,未知时间,"央视网消息:在数字化、智能化浪潮下,人工智能也就是AI,已经渗透到我们生活的很多方面,并且成为了未来产业发展的重要方向。为此,我国不少高校不仅专门开设了与人工智能相关的专业和学院,..."
"AI来了,会抢走人类工作吗?_新闻频道_央视网(cctv.com)",央视网,未知时间,"央视网消息:随着人工智能的发展,一些与人工智能相关的新职业也在不断涌现。比如,设计工作与人工智能大模型相结合以后,可以变得更加高效,也改变了设计师的工作方式。 AI画师邓博正在设计..."
"AI时代来临,科技如何重塑数字社会?",中关村在线,未知时间,1956年，在达特莫斯大学的那次学会上，AI这个概念第一次被提出，标志着人工智能的正式诞生。在历经近70年的发展之后，AI也终于迎来了属于它的高光时刻。随着算力和数据的爆发，人工智能...
"AI观察|“人工智能+”行动,如何推动生产力深层次变革",人民网四川频道,未知时间,"2024年全国两会期间,人工智能(AI)成为热议话题。与以往相比,人工智能在政府工作报告(以下简称报告)中的重要性显著提升。报告提出,深化大数据、人工智能等研发应用,开展“人工智能+”行..."
"“人工智能+”,都能加出啥?",河北日报,未知时间,"2024年全国两会,“人工智能”可以说“热得发烫”。 今年的政府工作报告多次提到“人工智能”,并首次提出“开展‘人工智能+’行动”。从2015年、2019年政府工作报告先后提出“互联网+”..."
"“人工智能+”来了!“+”什么,怎么“+”?",央视新闻,未知时间,“开展‘人工智能+’行动，打造具有国际竞争力的数字产业集群。”2024年全国两会正在进行时，政府工作报告中一个新关键词引发热议——“人工智能+”行动。“人工智能+”，应该“+”什么...
"外交主题记者会丨王毅谈人工智能全球治理:确保有益,确保安全,确保...",央视网,未知时间,"央视网消息:今天(3月7日)上午,十四届全国人大二次会议举行记者会。中共中央政治局委员、外交部长王毅就“中国外交政策和对外关系”相关问题回答中外记者提问。 王毅表示,人工智能进入爆发式发展的关键阶段。我们主张发展与安全并重,既要拥抱新事物新机遇,也要装好刹车..."
"人工智能+,何以成为新引擎?|两会共话",澎湃新闻,未知时间,2024年全国两会正在进行时，人大代表、政协委员们围绕不同领域展开讨论，积极建言献策，其中一个关键词是“人工智能”。3月5日，国务院总理李强在政府工作报告中介绍今年政府工作任务时...
代表委员议AI:如何应对人工智能领域竞争?,第一财经,未知时间,全球掀起人工智能竞赛，全国两会期间，如何构建更好的AI生态、在竞赛中跑得更快，成为科技界人士讨论焦点。据第一财经记者梳理，来自科技界的政协委员和人大代表针对AI领域，颇为关注如...
"人工智能vs人类智能,能否一决高下?",界面新闻,未知时间,"人工智能(AI)与人类智能(HI)相辅相成,却在历史中形成了两大学派:符号人工智能与联结主义人工智能。随着计算机能力的提升,两者在发展中互相交替,引发了对于“智力”的定义和两者异同的深刻思考。人工智能专家强调,机器是否具备智力需看其生成结果的实际意义。然而,讨论..."
5G、人工智能、数据中心……新型基础设施建设赋能经济社会高质量...,央视网,未知时间,"新型基础设施是现代化基础设施体系的重要组成部分,是实施创新驱动发展战略,推动经济社会高质量发展的重要支撑。近年来,以5G、人工智能、数据中心、工业互联网等为代表的新型基础设施建..."
《人工智能:时代的机遇和挑战》第四集《远行》,央视网,未知时间,"央视网消息:人工智能的到来让我们站在了新的转折点,技术带来的争议与惊喜如影随形,当虚拟和现实的边界日益模糊,潘多拉的盒子是否已经开启?未知的风险开启了关于治理的议题。微纪录片《..."
防范“AI换脸”诈骗 你需要的知识都在这儿了,央视网,未知时间,"近年来,随着人工智能技术的进步,一些不法分子开始利用AI技术融合他人面孔和声音,制造非常逼真的合成图像来实施新型网络诈骗,这类骗局常常会在短时间内给被害人造成较大损失。我们应该如..."
推动人工智能发展 为经济注入新动能,中国经济网,未知时间,伴随新一轮科技革命与产业变革的深入推进，以人工智能为代表的新一代信息通信技术正成为引领我国经济高质量发展的重要引擎。近年来，人工智能（AI）在技术发展、数据驱动、政策支持等方面取得了显著进展，加速与各垂直行业深度融合，正在为我国高质量发展注入新动力，...
今日影评| 人工智能与电影结合 未来有哪些可能?,1905电影网,未知时间,"1905电影网专稿在这个信息泛滥的时代,“AIGC—人工智能生成内容”这一技术随着ChatGPT的爆红而为众所周知,在经济增长疲软的全球背景下,AIGC为早入局的人带来了非常可观的经济效益。 然..."
龚克:今天我们该怎么看人工智能?,新华网,未知时间,世界工程组织联合会前主席、中国新一代人工智能发展战略研究院执行院长龚克在会上发表主旨演讲。龚克认为，先进生产力的发展是阻挡不了的，人工智能是一种新质生产力，虽然目前存在一定...
人工智能发展迎来新趋势,新华网,未知时间,"中央经济工作会议提出,要大力推进新型工业化,发展数字经济,加快推动人工智能发展。   2023年10月18日,中国在第三届“一带一路”国际合作高峰论坛期间发布《全球人工智能治理倡议》,围绕人工智能发展、安全、治理三方面系统阐述了人工智能治理中国方案。"
加快推动人工智能发展(科技视点),人民网,未知时间,"在河北省石家庄市融创中心第一小学,学生与人工智能设备进行互动。 张晓峰摄 中央经济工作会议提出,要大力推进新型工业化,发展数字经济,加快推动人工智能发展。 2023年10月18日,我国在第..."
通讯Plus·业界|大模型、生成式 AI 推动 AI 2.0 时代到来,封面新闻,未知时间,2023 年是人工智能发展的分水岭，大模型、生成式 AI 的高速发展带动了人工智能领域的范式转换，AI 2.0 时代已经来临。最新数据显示，过去四年，AI大模型的参数量以年均400%复合增长，AI...
人工智能或是中国经济下一个爆发点,环球时报,未知时间,科技进步是经济繁荣的发动机，从2010年以来的移动互联网应用，到现在的电动车大潮，近十几年来中国一直在技术创新方面表现突出，为中国经济增长提供了强大动力。那么中国科技发展的下一...
全球首部全面监管AI欧盟版《人工智能法案》出炉,央视网,未知时间,"原标题:全球首部全面监管AI欧盟版《人工智能法案》出炉 欧洲议会、欧盟成员国和欧盟委员会三方,终于在漫长谈判后,于布鲁塞尔当地时间12月8日晚,就《人工智能法案》达成协议。 这一法案将成为全球首部人工智能领域的全面监管法规。 据路透社报道称,这项法案最早将于明..."
AI代写服务需求火热 带来便捷的同时 其边界又在哪里?,央视网,未知时间,"央广网北京12月9日消息(总台中国之声记者江晓晨)据中央广播电视总台中国之声《新闻纵横》报道,科技的进步让人工智能,也就是AI的应用越来越广泛,在医疗、教育、娱乐等不同领域都能看到AI的身影。眼下,已经到了2023年底,年终总结报告该登场了。让AI来写报告!一晚上只能..."
人工智能可否成为“作者”,央视网,未知时间,"接纳人工智能文学存在的一个思路是,或许我们可以不去谈论“作者是谁?”而去谈论“作者的功能”。为什么人工智能不可以成为作者呢?它满足了那个无数的“我”组成的条件,“我”是无数的意识,也是无数的数据的组合。人工智能创作的文学,代表着人工智能与人类共存的时代的..."
"年终总结AI代写?有商家单量超6万,一公司业务增长超三成",央视网,未知时间,"随着科技快速发展,人工智能(AI)应用越来越广泛,它深入到金融、医疗、教育、娱乐等各个领域。过去,撰写年终总结报告是许多人头疼的问题。而现在,AI的应用,似乎让这一过程变得高效轻松了。 “今年在AI(人工智能)的协助下,大致会撰写35万份以上报告(去年是26万份),年底来..."
"被“熟人”敲诈,AI诈骗能有多逼真?",央视网,未知时间,"中新网北京11月8日电(张钰惠)近日,有媒体曝光了一起诈骗案件,被诈骗者遭遇AI换脸诈骗,10分钟被“好友”骗走430万元。近年来,AI换脸、换声视频在网络上流行起来,AI合成的技术门槛逐渐降..."
类脑智能:模仿人脑高效处理信息,央视网,未知时间,"类脑智能已然成为人工智能领域中的热词。近日,“问天I”类脑计算机技术成果在江苏南京发布,该计算机模拟大脑神经网络运行,是国内目前技术领先、规模最大的类脑计算机。 类脑智能又被称为神经形态计算,它通过模仿人类大脑的运作方式,让计算机软硬件实现信息高效处理。..."
"以人为本、多方共治,为全球人工智能治理提供中国方案",央视网,未知时间,"今天大家一定会把人工智能技术作为人类培养的最强创新应用,确实,人工智能在引领新一轮产业变革、给世界带来重大发展机遇,但同时也引发了一系列新风险、新挑战,甚至可能对人类未来生存产生毁灭性威胁。我们是否生活在“人间”,还是生活在“人工智能间”,是人类的问题。..."
落实《全球人工智能治理倡议》 加强人工智能全球治理,央视网,未知时间,"2023年10月,习近平主席出席第三届“一带一路”国际合作高峰论坛开幕式并发表主旨演讲,亲自宣布中国提出《全球人工智能治理倡议》(下称《倡议》),愿同各国加强交流和对话,共同促进全球人工智能健康有序安全发展。 《倡议》秉持共同、综合、合作、可持续的安全观,坚持发..."
引领全球人工智能治理的中国强音(和音),央视网,未知时间,"中国提出的全球人工智能治理倡议将有力推动各方增进对话合作、凝聚共识,共同构建开放、公正、有效的治理机制,促进人工智能造福全人类 在第三届“一带一路”国际合作高峰论坛开幕式上发表主旨演讲时,习近平主席宣布中方提出全球人工智能治理倡议,发出了引领全球人工智..."
协力谱就全球人工智能治理的未来蓝图——《全球人工智能治理倡议...,央视网,未知时间,"2023年10月18日,习近平主席在第三届“一带一路”国际合作高峰论坛开幕式主旨演讲中宣布中方将提出《全球人工智能治理倡议》(以下简称《倡议》),同日,《倡议》全文正式发布。《倡议》围绕人工智能发展、安全和治理三个方面系统阐述了人工智能治理的中国方案,强调中方愿..."
从AI概念先锋到新主流金牌监制 他怎么做到的?​,1905电影网,未知时间,"1905电影网专稿1986年,黄建新完成了电影《错位》:一个原本为应付无聊工作而被创造出的“机器人”,随着时间推移拥有了自己的个性,甚至插手“主人”的生活试图取而代之……在30多年之前选..."
[宁夏新闻联播]“AI在未来”公益计划人工智能体验中心落地吴忠和...,央视网,未知时间,来源: 央视网 2023年10月01日 20:56 内容简介 吴忠中卫人工智能 新闻栏目推荐  新闻联播  焦点访谈  新闻直播间  新闻1+1  朝闻天下 CCTV-1综合 CCTV-2财经 CCTV-3综艺 CCTV-4中文国际 ...
人工智能是机遇更是挑战 专家建议需要从各方面强化监管,央视网,未知时间,"央视网消息:作为网络安全宣传周重要组成部分,2023年网络安全博览会眼下正在福州举办,记者注意到,人工智能产业如何更好发展引发与会人员的关注。不少专家认为生成式人工智能虽然能够极大..."
